strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,wall_time_s
deferred,10245,13,13,13,1.0,True,911.4284126029056,11848.569363837772,8130.569363837771,40652.84681918884,3045.0,609,608,13,13,13,10,10,2591.0,7865.0,0.02492671200161567
deferred,10246,16,16,16,1.0,True,664.593553819833,10633.496861117328,7332.496861117329,36662.484305586644,2685.0,537,536,16,16,16,15,15,2099.0,5459.0,0.03005270100038615
deferred,10247,16,16,16,1.0,True,668.3516329689253,10693.626127502805,7182.626127502803,35913.13063751401,2860.0,572,571,16,16,16,16,16,2748.875,7415.0,0.030395868001505733
deferred,10248,15,15,15,1.0,True,808.0832275312099,12121.248412968149,8531.24841296815,42656.242064840764,2930.0,586,585,15,15,15,10,10,2815.0,8351.0,0.032309234997228486
deferred,10249,12,12,12,1.0,True,1037.9347826142161,12455.217391370594,8340.217391370594,41701.08695685296,3380.0,676,675,12,12,12,13,13,3330.0,8261.0,0.02208574900214444
deferred,10250,12,12,12,1.0,True,1004.8027310162879,12057.632772195455,8224.632772195451,41123.16386097726,3145.0,629,628,12,12,12,11,11,1326.5,4385.0,0.024086729001282947
deferred,10251,10,10,10,1.0,True,1314.3447124547,13143.447124547,8636.447124546998,43182.23562273498,3715.0,743,742,10,10,10,11,11,3131.6,5819.0,0.02314305900290492
deferred,10252,16,16,16,1.0,True,677.2493122186598,10835.988995498557,7300.988995498557,36504.9449774928,2880.0,576,575,16,16,16,14,14,2926.25,8465.0,0.02799452100225608
deferred,10253,10,10,10,1.0,True,1252.0428851648655,12520.428851648656,7893.428851648655,39467.144258243265,3815.0,763,762,10,10,10,15,15,1876.4,7889.0,0.03037646099983249
deferred,10254,14,14,14,1.0,True,830.412949808319,11625.781297316465,8322.78129731647,41613.906486582324,2695.0,539,538,14,14,14,12,12,1236.2857142857142,4931.0,0.01884957399670384
deferred,10255,11,11,11,1.0,True,1146.097143582732,12607.068579410054,8407.068579410055,42035.34289705028,3455.0,691,690,11,11,11,12,12,2039.0,7337.0,0.025826424000115367
deferred,10256,10,10,10,1.0,True,1201.4933964090035,12014.933964090034,7825.9339640900325,39129.669820450166,3450.0,690,689,10,10,10,6,6,1355.0,5657.0,0.014197693999449257
deferred,10257,13,13,13,1.0,True,887.1609329492981,11533.092128340875,8175.092128340877,40875.46064170438,2745.0,549,548,13,13,13,10,10,1987.3076923076924,5897.0,0.025235569999495056
deferred,10258,11,11,11,1.0,True,1121.4728766975395,12336.201643672935,8100.2016436729355,40501.00821836467,3485.0,697,696,11,11,11,10,10,2664.6363636363635,6965.0,0.02196383800037438
deferred,10259,10,10,10,1.0,True,1184.3845957689953,11843.845957689953,7876.845957689958,39384.22978844978,3265.0,653,652,10,10,10,9,9,1110.2,5789.0,0.0198083229988697
deferred,10260,15,15,15,1.0,True,844.8340303258866,12672.5104548883,8674.5104548883,43372.5522744415,3270.0,654,653,15,15,15,19,19,3275.8,7367.0,0.031817772000067635
deferred,10261,10,10,10,1.0,True,1246.9593536601406,12469.593536601406,8004.593536601407,40022.96768300704,3680.0,736,735,10,10,10,12,12,2598.2,6611.0,0.024007380001421552
deferred,10262,10,10,10,1.0,True,1220.2731092671563,12202.731092671564,7707.7310926715645,38538.65546335783,3705.0,741,740,10,10,10,12,12,1992.8,8519.0,0.021626198999001645
