strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s,local_check_count,local_detour_distance_m,main_skeleton_distance_m,switch_time_s,optical_time_s,successful_clear_time_s,cost_accounting_residual_s,all_cleared_within_6000,post_last_clear_time_s,seen16_time_s,post_seen16_time_s,unseen_measures_after_seen16
double_ring_optical_clear_probe,20,15,15,15,1.0,True,463.0692640303663,6946.038960455495,4987.038960455495,24935.194802277485,1590.0,318,280,0.8805031446540881,38,0,294,15,15,15,6,6,1564.5624186163839,5991.552055341576,872.8751503862487,6430.2524922056755,76,1.5222385870001744,,,,294.0,45.0,30.0,0.0,False,515.7864682498193,,,
double_ring_optical_clear_probe,21,11,11,11,1.0,True,729.4912077293691,8024.40328502306,5752.40328502306,28762.016425115304,1870.0,374,344,0.9197860962566845,30,0,347,11,11,11,5,5,1936.1036983075871,5028.618816230549,953.6513709527443,8024.40328502306,80,0.7818364550039405,,,,347.0,33.0,22.0,0.0,False,0.0,,,
double_ring_optical_clear_probe,22,11,11,11,1.0,True,728.8429951311423,8017.272946442565,5679.272946442565,28396.364732212827,1925.0,385,357,0.9272727272727272,28,0,358,11,11,11,5,5,2211.8772493268707,5140.089760309209,726.9543654786623,8017.272946442565,59,0.838096969993785,,,,358.0,33.0,22.0,0.0,False,0.0,,,
double_ring_optical_clear_probe,23,16,16,16,1.0,True,522.6333113715561,8362.132981944898,6472.132981944899,32360.66490972449,1530.0,306,267,0.8725490196078431,39,0,280,16,16,16,9,9,1844.093289699927,5978.65321090854,955.3101508933288,8362.132981944898,78,1.1301262969936943,,,,280.0,48.0,32.0,0.0,False,0.0,5978.65321090854,2383.479771036358,16
double_ring_optical_clear_probe,24,15,15,15,1.0,True,509.9004966160963,7648.507449241444,5482.507449241445,27412.53724620723,1755.0,351,314,0.8945868945868946,37,0,327,18,18,15,7,7,2640.567570631461,6161.084126440069,1124.219967929125,7648.507449241444,98,0.881226441997569,,,,327.0,54.0,30.0,-9.094947017729282e-13,False,0.0,,,
double_ring_optical_clear_probe,25,13,13,13,1.0,True,544.8806890848732,7083.448958103351,4917.44895810335,24587.244790516754,1770.0,354,323,0.9124293785310734,31,0,331,13,13,13,8,8,2150.9848297293897,5838.324041413428,1657.8036102953272,6915.005286985319,134,0.6877646950015333,,,,331.0,39.0,26.0,9.094947017729282e-13,False,168.4436711180324,,,
double_ring_optical_clear_probe,26,15,15,15,1.0,True,556.7687577872218,8351.531366808327,6232.531366808327,31162.65683404163,1725.0,345,302,0.8753623188405797,43,0,313,17,17,15,9,9,1753.5514853673753,5612.715500860631,732.7441337004952,8351.531366808327,60,1.2762939380045282,,,,313.0,51.0,30.0,0.0,False,0.0,,,
double_ring_optical_clear_probe,27,15,15,15,1.0,True,456.9314128427313,6853.971192640969,4898.971192640969,24494.85596320484,1580.0,316,278,0.879746835443038,38,0,291,18,18,15,7,7,1669.3518917777421,6134.488331064256,897.606831782249,6712.821321831488,77,1.2182804450130789,,,,291.0,54.0,30.0,0.0,False,141.1498708094814,,,
double_ring_optical_clear_probe,28,10,10,10,1.0,True,758.4688824243025,7584.688824243025,5383.688824243028,26918.444121215132,1795.0,359,333,0.9275766016713092,26,0,332,18,18,10,7,7,1261.8980683029417,4551.165540041423,1470.526145617736,7584.688824243025,116,0.8313372539996635,,,,332.0,54.0,20.0,-2.7284841053187847e-12,False,0.0,,,
double_ring_optical_clear_probe,29,14,14,14,1.0,True,543.4351629981273,7608.0922819737825,5569.092281973784,27845.461409868905,1655.0,331,299,0.9033232628398792,32,0,305,17,17,14,10,10,1644.3441519476887,6184.689162891973,531.9454009714123,7608.0922819737825,40,1.1146249629964586,,,,305.0,51.0,28.0,-1.8189894035458565e-12,False,0.0,,,
double_ring_optical_clear_probe,30,14,14,14,1.0,True,476.4911612240555,6670.876257136777,4525.876257136777,22629.38128568389,1750.0,350,313,0.8942857142857142,37,0,325,14,14,14,6,6,2258.5301889699613,6140.616216066339,1151.0074031983181,6670.876257136777,91,0.8467932230123552,,,,325.0,42.0,28.0,0.0,False,0.0,,,
