seed,emitter_count,directional_count,baseline_all_cleared,candidate_all_cleared,baseline_virtual_time_s,candidate_virtual_time_s,virtual_time_delta_s,lost_clearance,lost_target,is_regression,regression_log
67,10,6,True,True,7918.260227678532,7582.08937473954,-336.17085293899163,False,False,False,
68,15,7,True,True,7176.093159749445,6753.555528825992,-422.5376309234525,False,False,False,
69,15,9,True,True,6175.422784524797,6110.796715723136,-64.62606880166095,False,False,False,
70,10,3,True,True,6523.411122887403,6419.058089582429,-104.3530333049739,False,False,False,
71,12,5,True,True,6872.474958308508,6395.782371329946,-476.69258697856185,False,False,False,
72,10,8,True,True,6990.7864946912105,6893.18446003154,-97.60203465967061,False,False,False,
73,12,8,True,True,7905.1481875848185,7203.933611900011,-701.2145756848076,False,False,False,
74,16,7,True,True,7213.0885691309495,6237.944174506069,-975.1443946248801,False,False,False,
75,13,8,True,True,6191.714710704726,6191.714710704726,0.0,False,False,False,
76,12,6,True,True,6454.1455222180275,6421.174156518661,-32.97136569936629,False,False,False,
77,16,7,True,True,5912.434029094087,6398.678023592473,486.2439944983862,False,True,True,regressions/seed_77.json
78,16,10,True,True,6637.508119917259,7141.648765408415,504.14064549115574,False,False,True,regressions/seed_78.json
79,11,3,True,True,6397.074571356728,6317.456562239361,-79.61800911736646,False,False,False,
80,12,6,True,True,6431.3257683242155,5984.723049859256,-446.60271846495925,False,False,False,
81,14,6,True,True,7348.608591908671,6402.79215727281,-945.8164346358608,False,False,False,
82,11,8,True,True,7757.115657922039,7323.107144035791,-434.0085138862478,False,False,False,
83,13,6,True,True,6507.559908496162,6606.175538594391,98.6156300982284,False,False,True,
84,15,8,True,True,6837.579789281621,6389.8042804616125,-447.7755088200083,False,False,False,
85,11,5,True,True,6168.481984031504,6162.139336795033,-6.342647236470839,False,False,False,
86,16,11,True,True,6950.657485389227,5523.447334470179,-1427.210150919048,False,False,False,
87,11,6,True,True,7464.093365640341,6506.144324129165,-957.9490415111759,False,False,False,
88,13,11,True,True,7095.969166450983,7144.18608213205,48.216915681066894,False,False,True,
89,10,7,True,True,7925.649364302201,6989.490648673563,-936.1587156286387,False,False,False,
90,11,8,True,True,7684.371405088158,7506.029124868196,-178.34228021996205,False,False,False,
91,10,2,True,True,6295.236100770357,6207.293099709062,-87.94300106129504,False,False,False,
92,13,3,True,True,6244.084547319553,6300.024449155468,55.9399018359145,False,False,True,
93,16,8,True,True,7189.130593339817,5805.161778154319,-1383.968815185498,False,False,False,
94,14,9,True,True,7561.200470306411,6779.02378364197,-782.1766866644411,False,False,False,
95,16,11,True,True,8574.395444534803,6708.506868397369,-1865.888576137434,False,False,False,
96,12,4,True,True,6213.1553638791465,6271.416835631693,58.26147175254664,False,False,True,
97,11,4,True,True,6462.929969291449,6241.935882867268,-220.99408642418075,False,False,False,
98,12,6,True,True,6592.945916436418,6583.651427069417,-9.294489367001006,False,False,False,
99,13,8,True,True,6827.655492867063,6858.993447417467,31.337954550403992,False,False,True,
