seed,emitter_count,directional_count,baseline_all_cleared,candidate_all_cleared,baseline_virtual_time_s,candidate_virtual_time_s,virtual_time_delta_s,lost_clearance,lost_target,is_regression,regression_log
22,11,2,True,True,5820.955582620968,5779.217599821836,-41.737982799131714,False,False,False,
23,16,9,True,True,7012.07914324681,6331.31166486056,-680.7674783862503,False,False,False,
24,15,10,True,True,6747.9799168863265,6768.949321414264,20.969404527937513,False,False,True,
25,13,7,True,True,6067.956198809142,6111.841667279542,43.885468470400156,False,False,True,
26,15,7,True,True,6541.630610255195,5738.776020171759,-802.854590083436,False,False,False,
27,15,6,True,True,5908.36153477334,5840.93847097244,-67.42306380090031,False,False,False,
28,10,6,True,True,6040.869928466939,5925.68304573085,-115.1868827360895,False,False,False,
29,14,7,True,True,7108.160155936209,6853.736290256218,-254.42386567999074,False,False,False,
30,14,5,True,True,7696.586801412435,6760.632635932176,-935.9541654802597,False,False,False,
31,10,5,True,True,6136.249703515361,6142.51784580418,6.2681422888190355,False,False,True,
32,10,6,True,True,6831.641846491272,6521.96139521478,-309.680451276492,False,False,False,
33,14,6,True,True,7578.372619583216,7028.461378146848,-549.9112414363681,False,False,False,
34,14,10,True,True,6629.305546855254,6693.48145091391,64.17590405865576,False,False,True,
35,14,9,True,True,7461.6037742122435,7661.666134890726,200.06236067848295,False,False,True,regressions/seed_35.json
36,12,7,True,True,6121.630023702236,6183.418999971323,61.78897626908656,False,False,True,
37,15,9,True,True,6477.817468016966,6282.745430201753,-195.07203781521275,False,False,False,
38,15,9,True,True,6365.564378891123,6147.229053183931,-218.33532570719217,False,False,False,
39,11,4,True,True,6391.221922842093,6291.811045545111,-99.41087729698211,False,False,False,
40,13,5,True,True,6166.8452639960315,6077.926619112356,-88.91864488367537,False,False,False,
41,13,9,True,True,6139.517273928325,6201.217239255137,61.69996532681216,False,False,True,
42,15,6,True,True,6166.81323403382,6053.9044876589005,-112.90874637491925,False,False,False,
43,10,8,True,True,7531.174312873017,7611.781424237836,80.6071113648195,False,False,True,
44,13,7,True,True,6565.002622659576,6592.253499763201,27.25087710362459,False,False,True,
45,12,6,True,True,6095.908822024507,6121.160899282009,25.252077257502606,False,False,True,
46,10,4,True,True,6408.794546713839,6351.51886930104,-57.27567741279927,False,False,False,
47,12,5,True,True,6343.836131722636,6152.439484990408,-191.39664673222796,False,False,False,
48,14,5,True,True,6009.067155383836,5681.883677723808,-327.18347766002717,False,False,False,
49,10,6,True,True,6746.248926249366,6660.307627483782,-85.94129876558418,False,False,False,
50,13,5,True,True,7088.813134245323,6787.192233217398,-301.62090102792536,False,False,False,
51,11,4,True,True,6971.769763892542,6795.962378878586,-175.80738501395626,False,False,False,
52,12,6,True,True,7518.947014783676,7230.056279075287,-288.890735708389,False,False,False,
53,14,6,True,True,8627.224020457123,7562.198968316985,-1065.0250521401376,False,False,False,
54,11,8,True,True,7034.664046826083,6660.279499871237,-374.384546954846,False,False,False,
55,10,5,True,True,6528.790313437707,6356.367027075903,-172.42328636180355,False,False,False,
56,16,10,True,True,7375.109916489254,6578.286837863593,-796.8230786256609,False,False,False,
57,10,5,True,True,7268.1664728325495,6918.0039159622875,-350.16255687026205,False,False,False,
58,14,10,True,True,6552.838785298604,6248.542486984457,-304.29629831414695,False,False,False,
59,11,5,True,True,6608.962941491707,6631.314566924201,22.351625432494075,False,False,True,
60,12,5,True,True,6384.141421783968,6478.483451167376,94.34202938340786,False,False,True,regressions/seed_60.json
61,13,9,True,True,6237.630883959526,6019.234086827837,-218.3967971316888,False,False,False,
62,14,7,True,True,7215.8755730605435,6663.065082380212,-552.8104906803319,False,False,False,
63,13,7,True,True,6720.185866191405,6633.775973342011,-86.40989284939405,False,False,False,
64,13,5,True,True,6205.035769487063,6161.900388632688,-43.13538085437449,False,False,False,
65,13,5,True,True,6523.583334098319,6610.877131507439,87.29379740912009,False,False,True,
66,10,7,True,True,6654.919596542688,6527.168844917741,-127.75075162494704,False,False,False,
67,10,6,True,True,7918.260227678532,7281.436939500627,-636.8232881779049,False,False,False,
68,15,7,True,True,7176.093159749445,6450.054692235401,-726.038467514044,False,False,False,
69,15,9,True,True,6175.422784524797,6084.373006418194,-91.0497781066033,False,False,False,
70,10,3,True,True,6523.411122887403,6449.810258312065,-73.60086457533725,False,False,False,
71,12,5,True,True,6872.474958308508,6291.1173860208,-581.3575722877076,False,False,False,
72,10,8,True,True,6990.7864946912105,6905.565892916265,-85.22060177494586,False,False,False,
73,12,8,True,True,7905.1481875848185,7233.60565431157,-671.5425332732484,False,False,False,
74,16,7,True,True,7213.0885691309495,5728.347967212295,-1484.7406019186546,False,False,False,
75,13,8,True,True,6191.714710704726,6249.546501991093,57.83179128636675,False,False,True,
76,12,6,True,True,6454.1455222180275,6390.427156087371,-63.71836613065625,False,False,False,
77,16,7,True,True,5912.434029094087,6422.976829242647,510.54280014855976,False,True,True,regressions/seed_77.json
78,16,10,True,True,6637.508119917259,5987.909312822046,-649.5988070952135,False,False,False,
79,11,3,True,True,6397.074571356728,6171.5611772545635,-225.51339410216406,False,False,False,
80,12,6,True,True,6431.3257683242155,6009.550117063823,-421.7756512603928,False,False,False,
81,14,6,True,True,7348.608591908671,6295.948029800911,-1052.6605621077597,False,False,False,
82,11,8,True,True,7757.115657922039,7330.303579316252,-426.81207860578706,False,False,False,
83,13,6,True,True,6507.559908496162,6473.400074845771,-34.15983365039119,False,False,False,
84,15,8,True,True,6837.579789281621,6394.988410433369,-442.59137884825213,False,False,False,
85,11,5,True,True,6168.481984031504,6254.638126678171,86.15614264666692,False,False,True,
86,16,11,True,True,6950.657485389227,5543.546460705399,-1407.111024683828,False,False,False,
87,11,6,True,True,7464.093365640341,6376.979400213135,-1087.1139654272065,False,False,False,
88,13,11,True,True,7095.969166450983,7111.749257106626,15.780090655643107,False,False,True,
89,10,7,True,True,7925.649364302201,7007.490648673563,-918.1587156286387,False,False,False,
90,11,8,True,True,7684.371405088158,7529.091763527484,-155.27964156067446,False,False,False,
91,10,2,True,True,6295.236100770357,6213.293099709062,-81.94300106129504,False,False,False,
92,13,3,True,True,6244.084547319553,6324.286964728632,80.20241740907841,False,False,True,
93,16,8,True,True,7189.130593339817,5844.923350444216,-1344.2072428956008,False,False,False,
94,14,9,True,True,7561.200470306411,6797.991416253771,-763.2090540526406,False,False,False,
95,16,11,True,True,8574.395444534803,7484.335937104088,-1090.0595074307148,False,False,False,
96,12,4,True,True,6213.1553638791465,6162.879133344161,-50.27623053498519,False,False,False,
97,11,4,True,True,6462.929969291449,6241.935882867268,-220.99408642418075,False,False,False,
98,12,6,True,True,6592.945916436418,6617.597376956961,24.65146052054297,False,False,True,
99,13,8,True,True,6827.655492867063,6355.350036393967,-472.30545647309646,False,False,False,
