emitter_count,directional_probability,strategy,cases,total_emitters,total_directional,realized_directional_fraction,all_clear_cases,mean_time_s,mean_time_ci95_low_s,mean_time_ci95_high_s,median_time_s,p95_time_s,maximum_time_s,within_6000_cases,within_6000_rate,within_6000_wilson_low,within_6000_wilson_high,mean_movement_time_s,mean_measure_time_s,mean_switch_time_s,mean_optical_time_s,mean_measure_count,mean_no_signal_rate,mean_directional_loss_count,mean_post_last_clear_time_s
13,0.5,double_ring_optical_clear_probe,100,1300,669,0.5146153846153846,100,6728.262273143129,6622.323652067784,6835.443080387731,6673.86833195851,7740.461164368821,8131.152033605773,7,0.07,0.03431926106727268,0.137495147390735,4809.35227314313,1560.15,287.01,45.75,312.03,0.8873587638976969,4.01,186.61913635053827
13,0.5,adaptive_double_ring_clear_probe,100,1300,669,0.5146153846153846,100,6514.2929464253,6423.947824180275,6605.088361878691,6452.300645858357,7401.654941567424,7742.115990964217,15,0.15,0.0930598528365663,0.23283559590832364,4653.762946425301,1495.4,273.79,65.34,299.08,0.8923668888537716,3.37,181.14000934879735
13,0.75,double_ring_optical_clear_probe,100,1300,974,0.7492307692307691,100,7103.857894767791,6976.291671914194,7236.527964635822,6890.146347797387,8427.77342340201,9006.324228547612,2,0.02,0.00550196755016235,0.07001179072854388,5074.62789476779,1651.55,304.76,46.92,330.31,0.8950445779148067,5.53,146.6228181817249
13,0.75,adaptive_double_ring_clear_probe,100,1300,974,0.7492307692307691,100,6831.31183458908,6731.156419856042,6935.468936637052,6786.270752873226,7789.454120670569,8279.989023078733,4,0.04,0.01566330399154762,0.0983707143588792,4861.351834589081,1588.25,291.75,63.96,317.65,0.8996526530992389,4.96,164.6987493829533
13,1,double_ring_optical_clear_probe,100,1300,1300,1.0,100,7524.773301207069,7384.959776798068,7663.776258062075,7424.872843300791,8756.600751019256,9134.95131915449,0,0.0,3.469446951953614e-18,0.03699349820698568,5363.30330120707,1763.1,326.65,45.72,352.62,0.9020159434969292,7.52,119.70933853222733
13,1,adaptive_double_ring_clear_probe,100,1300,1300,1.0,100,7114.239935071512,7010.689249141928,7223.0201417036815,7075.111480272102,8045.654009848668,8963.052206481048,1,0.01,0.0017674320641406505,0.054486196178705315,5026.3399350715135,1691.55,312.15,58.2,338.31,0.9059547679361075,6.47,152.4534116522415
16,0,double_ring_optical_clear_probe,100,1600,0,0.0,100,4743.939281129234,4630.584580222962,4857.871326641761,4773.247522633321,5577.257913010718,5904.346840097685,100,1.0,0.9630065017930143,1.0,3549.329281129234,934.75,171.01,56.85,186.95,0.7602920598706026,0.0,0.0
16,0,adaptive_double_ring_clear_probe,100,1600,0,0.0,100,4432.992544973004,4343.1258573427585,4522.910002206675,4386.441568331884,5312.038096567483,5576.091096780421,100,1.0,0.9630065017930143,1.0,3466.702544973005,723.55,132.11,78.63,144.71,0.7069483511115195,0.0,0.0
16,0.25,double_ring_optical_clear_probe,100,1600,452,0.2825,100,5788.093440066215,5610.088326826809,5971.570667717188,5734.782321505547,7371.8759602633245,7949.522586326499,63,0.63,0.5322052958094291,0.7181763946567546,4358.7634400662155,1135.3,206.17,55.86,227.06,0.8047853606276331,2.84,0.0
16,0.25,adaptive_double_ring_clear_probe,100,1600,452,0.2825,100,5274.627895534356,5122.961764078217,5424.4043805962565,5312.655818521532,6486.656398380936,7339.980684287414,80,0.8,0.7111708344068411,0.8666330666689676,4036.7778955343574,953.2,171.59,81.06,190.64,0.7795805107069949,2.57,0.0
16,0.5,double_ring_optical_clear_probe,100,1600,832,0.52,100,6506.776021241782,6330.298285716237,6679.927012626066,6601.012833097488,7923.077894033868,8500.421262893979,30,0.3,0.2189488529493276,0.3958485463334666,4883.296021241782,1298.5,236.31,56.67,259.7,0.8327329960306991,5.02,0.0
16,0.5,adaptive_double_ring_clear_probe,100,1600,832,0.52,100,5911.10891364892,5763.02354860158,6061.587431949457,5976.575832233393,7012.427253027601,7498.395590133737,53,0.53,0.4328885697009936,0.6248918204065872,4471.20891364892,1122.9,202.08,82.92,224.58,0.8151226097824598,4.46,0.0
16,0.75,double_ring_optical_clear_probe,100,1600,1206,0.75375,100,7114.032514178014,6933.3912674056255,7299.382928152978,7069.684661578286,8912.602604715315,9479.103063673469,13,0.13,0.07757167427240512,0.20980351440076428,5329.402514178014,1434.15,262.14,56.34,286.83,0.8494681633805874,7.01,0.0
16,0.75,adaptive_double_ring_clear_probe,100,1600,1206,0.75375,100,6365.138193323583,6218.433158178407,6516.327302024677,6357.982045169387,7498.208534242602,8613.31656467136,30,0.3,0.2189488529493276,0.3958485463334666,4772.298193323582,1255.15,227.0,78.69,251.03,0.8360444026877335,6.69,0.0
16,1,double_ring_optical_clear_probe,100,1600,1600,1.0,100,7667.923127686564,7488.818247851278,7845.651389856508,7698.421334219545,9049.39602786253,10131.580475939649,4,0.04,0.01566330399154762,0.0983707143588792,5713.053127686564,1577.3,289.62,55.95,315.46,0.8647374209257687,9.39,0.0
16,1,adaptive_double_ring_clear_probe,100,1600,1600,1.0,100,6867.089726786412,6714.104489455306,7018.1381587138785,6838.218755763473,8155.5687683738315,8804.95487509496,12,0.12,0.06999406437019488,0.19812099426711421,5091.729726786412,1412.3,256.27,74.79,282.46,0.8551669317048067,8.82,0.0
