seed,channel,localize_count,localize_movement_distance_m,localize_movement_time_s,clear_action_count,clear_movement_distance_m,clear_movement_time_s,first_found_virtual_time_s,cleared_virtual_time_s,found_to_clear_s,localize_source_types
321103,9,2,654.092392694269,130.8184785388538,0,0.0,0,1097.0,4656.138903750056,3559.1389037500558,centroid+task2_geometry:1;mec_center+task2_expected_diameter:1
321103,10,1,137.0131827412894,27.40263654825788,1,8.069215878755458,1.6138431757510916,59.0,2877.3282405092996,2818.3282405092996,centroid:1
321103,11,1,700.9226791921581,140.1845358384316,1,10.223920697652442,2.0447841395304884,749.0000000000001,3677.3987823447083,2928.3987823447083,centroid:1
321103,12,1,578.4967083277297,115.69934166554594,1,11.893398282201701,2.3786796564403403,71.0,3006.406261831286,2935.406261831286,chebyshev_center:1
321103,15,0,0.0,0,1,1249.1221917810924,249.82443835621848,89.0,2715.4310018082797,2626.4310018082797,
321103,16,0,0.0,0,1,430.9899023392165,86.1979804678433,95.0,3381.7807528352196,3286.7807528352196,
321103,17,0,0.0,0,1,968.8308937999707,193.76617875999415,101.0,3250.9893263833833,3149.9893263833833,
321103,18,0,0.0,0,1,2105.6339768450844,421.12679536901686,107.0,4154.9659971845385,4047.9659971845385,
321103,20,1,507.2076731501823,101.44153463003646,0,0.0,0,119.0,2827.8725364383163,2708.8725364383163,mec_center:1
321104,1,2,282.59484893754075,56.518969787508155,1,9.20135896432708,1.840271792865416,1804.0,2975.1056203251674,1171.1056203251674,centroid:1;mec_center:1
321104,2,1,1481.2853371312362,296.25706742624726,0,0.0,0,11.0,3404.364868141134,3393.364868141134,mec_center+task2_geometry:1
321104,3,1,306.4477911616134,61.289558232322676,1,5.303323560959131,1.0606647121918262,17.0,3477.7150910856485,3460.7150910856485,chebyshev_center:1
321104,5,2,574.9651311338324,114.99302622676649,1,11.180339887498949,2.23606797749979,29.0,2410.229094204266,2381.229094204266,chebyshev_center:1;mec_center:1
321104,6,2,1811.9564386940249,362.391287738805,0,0.0,0,1096.0,4033.4272298468145,2937.4272298468145,chebyshev_center:1;mec_center:1
321104,7,1,681.7680284584333,136.35360569168665,0,0.0,0,41.0,4593.583897772612,4552.583897772612,centroid:1
321104,8,1,247.23297489016085,49.44659497803217,1,17.69442478532875,3.5388849570657497,47.0,4194.195347164263,4147.195347164263,chebyshev_center:1
321104,9,1,1391.2433272338653,278.2486654467731,0,0.0,0,388.0,4882.832563219385,4494.832563219385,chebyshev_center:1
321104,10,5,1285.4639765187392,257.09279530374783,1,1.9230769230769056,0.38461538461538114,1816.0,3097.1078007148867,1281.1078007148867,centroid:1;chebyshev_center:2;mec_center:2
321104,12,1,415.6713130933598,83.13426261867195,1,13.241873818392179,2.6483747636784356,71.0,4130.209867229165,4059.209867229165,centroid:1
321104,13,1,616.3470387936184,123.26940775872367,1,8.625186198637126,1.7250372397274252,77.0,2733.2711484461506,2656.2711484461506,chebyshev_center:1
321104,14,1,78.79678621622551,15.759357243245102,0,0.0,0,83.0,4220.954704407508,4137.954704407508,mec_center:1
321104,15,1,534.6187706403463,106.92375412806925,1,9.182244250043423,1.8364488500086846,754.0,4340.714907385585,3586.7149073855853,centroid+task2_geometry:1
321104,17,1,464.67631334544205,92.93526266908842,1,7.900610131257013,1.5801220262514026,766.0,4446.230292080925,3680.230292080925,chebyshev_center:1
321104,18,0,0.0,0,1,910.2380462171695,182.0476092434339,107.0,2597.2767034476997,2490.2767034476997,
321104,20,1,818.9597907644117,163.79195815288233,1,12.644464347392397,2.5288928694784794,1480.0,3655.0359421080093,2175.0359421080093,centroid:1
321105,1,1,1113.254762768587,222.6509525537174,1,15.498387012847454,3.099677402569491,1085.0,3852.7624183720777,2767.7624183720777,centroid+task2_geometry:1
