seed,channel,start_index,end_index,outcome,phase,frontier_rank,task_start_x_m,task_start_y_m,main_action_count,opportunistic_action_count,preview_kind,preview_reason,preview_end_x_m,preview_end_y_m,actual_end_x_m,actual_end_y_m,preview_travel_m,actual_travel_m,endpoint_error_m,preview_cost_s,actual_main_cost_s,actual_total_cost_s,cost_error_s,cost_error_total_s,preview_end_is_start_pose,path_length_m,net_displacement_m,within_task_detour_ratio,current_pose_measure_actions,forward_route_measure_actions,main_action_chain
20260913,12,49,68,channel_cleared,directional_sweep,0,771.3451316238472,919.2533317427736,3,3,MEASURE,current_position_information,771.3451316238472,919.2533317427736,1002.5,612.5,0.0,0.0,384.0965760186996,6.0,17.0,112.05974044132311,11.0,106.05974044132311,True,385.29870220661564,384.0965760186996,1.003129749815467,1,0,MEASURE:12:current_position_information|MEASURE:12:forward_center_measurement|CLEAR:12:certified_clear_point
20260913,14,73,101,channel_cleared,directional_sweep,0,1002.5,612.5,3,6,MEASURE,current_position_information,1002.5,612.5,1277.5,907.5,0.0,116.37940126612828,403.29889660151565,6.0,40.27588025322566,137.99475332230213,34.27588025322566,131.99475332230213,True,424.9737666115106,403.29889660151565,1.0537439358070226,1,0,MEASURE:14:current_position_information|MEASURE:14:forward_center_measurement|CLEAR:14:certified_clear_point
20260913,6,106,122,channel_cleared,directional_sweep,0,1277.5,907.5,3,2,MEASURE,current_position_information,1277.5,907.5,1357.5,960.0,0.0,85.2006337686367,95.6882960450232,6.0,34.04012675372734,48.15499229318842,28.040126753727343,42.15499229318842,True,95.7749614659421,95.6882960450232,1.0009057055512633,1,0,MEASURE:6:current_position_information|MEASURE:6:forward_center_measurement|CLEAR:6:certified_clear_point
20260913,7,127,140,channel_cleared,directional_sweep,0,1357.5,960.0,3,1,MEASURE,current_position_information,1357.5,960.0,1082.5,437.5,0.0,720.3935530102124,590.4500402235569,6.0,161.07871060204246,255.21412326710242,155.07871060204246,249.21412326710242,True,1161.070616335512,590.4500402235569,1.9664163557274146,1,1,MEASURE:7:current_position_information|MEASURE:7:forward_route_measurement|CLEAR:7:certified_clear_point
20260913,17,145,149,channel_cleared,directional_sweep,0,1082.5,437.5,1,0,CLEAR,certified_clear_point,975.0,1085.0,975.0,1085.0,656.3630854946064,656.3630854946064,0.0,136.27261709892127,136.27261709892127,136.27261709892127,0.0,0.0,False,656.3630854946064,656.3630854946064,1.0,0,0,CLEAR:17:certified_clear_point
20260913,3,154,161,channel_cleared,directional_sweep,0,975.0,1085.0,2,0,MEASURE,forward_service_approach,623.623968672016,945.3005583928132,525.0,1002.5,378.1283504012417,492.1391539103511,114.01080350910944,81.62567008024834,109.42783078207023,109.42783078207023,27.80216070182189,27.80216070182189,False,492.1391539103511,457.5,1.075713997618254,0,0,MEASURE:3:forward_service_approach|CLEAR:3:certified_clear_point
20260913,13,180,193,channel_cleared,directional_sweep,1,-410.42417199080245,1127.63114494309,4,0,MEASURE,current_position_information,-410.42417199080245,1127.63114494309,-537.5,875.0,0.0,316.5878104547135,282.79102082541397,6.0,84.3175620909427,84.3175620909427,78.3175620909427,78.3175620909427,True,316.5878104547135,282.79102082541397,1.1195115372852118,1,1,MEASURE:13:current_position_information|MEASURE:13:forward_route_measurement|MEASURE:13:forward_center_measurement|CLEAR:13:certified_clear_point
20260913,2,198,211,channel_cleared,directional_sweep,1,-537.5,875.0,4,0,MEASURE,current_position_information,-537.5,875.0,-752.5,875.0,0.0,250.99306747018855,215.0,6.0,71.19861349403772,71.19861349403772,65.19861349403772,65.19861349403772,True,250.99306747018855,215.0,1.167409616140412,1,1,MEASURE:2:current_position_information|MEASURE:2:forward_route_measurement|MEASURE:2:forward_center_measurement|CLEAR:2:certified_clear_point
20260913,10,232,248,channel_cleared,directional_sweep,2,-1181.7693036146495,208.37781320031684,3,2,MEASURE,current_position_information,-1181.7693036146495,208.37781320031684,-770.0,507.5,0.0,325.62605693738095,508.94797576483,6.0,82.12521138747618,132.6003382199619,76.12521138747618,126.60033821996191,True,518.0016910998096,508.94797576483,1.0177890781889327,1,0,MEASURE:10:current_position_information|MEASURE:10:forward_center_measurement|CLEAR:10:certified_clear_point
20260913,19,253,275,channel_cleared,directional_sweep,2,-770.0,507.5,5,2,MEASURE,current_position_information,-770.0,507.5,-1335.0,-372.5,0.0,825.7858735645443,1045.7652700295607,6.0,193.15717471290887,270.97341520724933,187.15717471290887,264.97341520724933,True,1154.8670760362465,1045.7652700295607,1.1043272416223975,1,2,MEASURE:19:current_position_information|MEASURE:19:forward_route_measurement|MEASURE:19:forward_route_measurement|MEASURE:19:forward_center_measurement|CLEAR:19:certified_clear_point
20260913,5,280,284,channel_cleared,directional_sweep,2,-1335.0,-372.5,1,0,CLEAR,certified_clear_point,-1187.5,605.0,-1187.5,605.0,988.5658804551167,988.5658804551167,0.0,202.71317609102334,202.71317609102334,202.71317609102334,0.0,0.0,False,988.5658804551167,988.5658804551167,1.0,0,0,CLEAR:5:certified_clear_point
20260913,18,301,311,channel_cleared,directional_sweep,3,-771.3451316238474,-919.2533317427735,3,0,MEASURE,current_position_information,-771.3451316238474,-919.2533317427735,-672.5,-375.0,0.0,556.2322164355239,553.1564418488184,6.0,127.2464432871048,127.2464432871048,121.2464432871048,121.2464432871048,True,556.2322164355239,553.1564418488184,1.0055604063407908,1,0,MEASURE:18:current_position_information|MEASURE:18:forward_center_measurement|CLEAR:18:certified_clear_point
20260913,11,331,344,channel_cleared,directional_sweep,4,410.42417199080177,-1127.6311449430902,3,1,MEASURE,current_position_information,410.42417199080177,-1127.6311449430902,-140.0,-860.0,0.0,125.31476086641064,612.040193823338,6.0,42.06295217328213,146.51879206561574,36.06295217328213,140.51879206561574,True,617.5939603280787,612.040193823338,1.0090741859126064,1,0,MEASURE:11:current_position_information|MEASURE:11:forward_center_measurement|CLEAR:11:certified_clear_point
20260913,15,349,359,channel_cleared,directional_sweep,4,-140.0,-860.0,3,0,MEASURE,current_position_information,-140.0,-860.0,370.0,-1717.5,0.0,1000.4560707056868,997.700481106429,6.0,216.09121414113739,216.09121414113739,210.09121414113739,210.09121414113739,True,1000.4560707056868,997.700481106429,1.0027619407341588,1,0,MEASURE:15:current_position_information|MEASURE:15:forward_center_measurement|CLEAR:15:certified_clear_point
20260913,16,364,383,channel_cleared,directional_sweep,4,370.0,-1717.5,6,0,MEASURE,current_position_information,370.0,-1717.5,157.5,-337.5,0.0,1610.7645675049066,1396.2651073488873,6.0,353.1529135009813,353.1529135009813,347.1529135009813,347.1529135009813,True,1610.7645675049066,1396.2651073488873,1.153623734509339,1,2,MEASURE:16:current_position_information|MEASURE:16:forward_route_measurement|MEASURE:16:forward_route_measurement|MEASURE:16:forward_center_measurement|MEASURE:16:forward_center_measurement|CLEAR:16:certified_clear_point
20260913,1,402,408,channel_cleared,directional_sweep,5,1181.7693036146495,-208.37781320031647,2,0,MEASURE,current_position_information,1181.7693036146495,-208.37781320031647,1133.75,-393.75,0.0,191.490733871205,191.490733871205,6.0,49.298146774241005,49.298146774241005,43.298146774241005,43.298146774241005,True,191.490733871205,191.490733871205,1.0,1,0,MEASURE:1:current_position_information|CLEAR:1:certified_clear_point
