base_seed,emitter_count,directional_probability,realized_directional_count,realized_directional_fraction,strategy,all_cleared,cleared_count,virtual_time_s,within_6000,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,channel_switch_count,switch_time_s,optical_count,optical_time_s,clear_success_count,successful_clear_time_s,directional_loss_count,directional_reacquisition_count,first_clear_time_s,last_clear_time_s,post_last_clear_time_s,seen_channel_count,cost_accounting_residual_s,wall_time_s
60001,16,0.5,11,0.6875,adaptive_double_ring_clear_probe,True,16,6484.618697000519,False,4793.61869700052,23968.09348500261,1350.0,270,226,0.837037037037037,243,243.0,22,66.0,16,32.0,7,7,530.1486881458135,6484.618697000519,0.0,16,-9.094947017729282e-13,0.8233488330006367
60001,16,0.75,12,0.75,double_ring_optical_clear_probe,True,16,7036.141298275694,False,5102.141298275694,25510.706491378478,1565.0,313,266,0.8498402555910544,289,289.0,16,48.0,16,32.0,8,8,530.1486881458135,7036.141298275694,0.0,16,0.0,0.9833951860055095
60001,16,0.75,12,0.75,adaptive_double_ring_clear_probe,True,16,6528.348309744646,False,4794.348309744647,23971.741548723243,1385.0,277,234,0.8447653429602888,251,251.0,22,66.0,16,32.0,8,8,530.1486881458135,6528.348309744646,0.0,16,-9.094947017729282e-13,0.7607049069920322
60001,16,1.0,16,1.0,double_ring_optical_clear_probe,True,16,8471.610671383845,False,6335.6106713838435,31678.05335691921,1735.0,347,301,0.8674351585014409,321,321.0,16,48.0,16,32.0,11,11,2037.3011543410266,8471.610671383845,0.0,16,1.8189894035458565e-12,1.5617582970007788
60001,16,1.0,16,1.0,adaptive_double_ring_clear_probe,True,16,6468.172304423991,False,4636.172304423988,23180.861522119943,1445.0,289,246,0.8512110726643599,265,265.0,30,90.0,16,32.0,13,13,2025.3011543410266,6468.172304423991,0.0,16,2.7284841053187847e-12,1.4003520929982187
60002,10,0.0,0,0.0,double_ring_optical_clear_probe,True,10,6062.259046104655,False,4111.259046104655,20556.29523052327,1605.0,321,296,0.9221183800623053,296,296.0,10,30.0,10,20.0,0,0,778.0449154491943,5849.07496667174,213.1840794329146,10,0.0,0.5514497260010103
60002,10,0.0,0,0.0,adaptive_double_ring_clear_probe,True,10,6017.8790302103125,False,4102.879030210313,20514.39515105156,1575.0,315,292,0.926984126984127,290,290.0,10,30.0,10,20.0,0,0,778.0449154491943,5327.350709119912,690.5283210904008,10,-9.094947017729282e-13,0.4955752840032801
60002,10,0.25,3,0.3,double_ring_optical_clear_probe,True,10,6504.684891839068,False,4414.684891839069,22073.424459195343,1720.0,344,320,0.9302325581395349,320,320.0,10,30.0,10,20.0,0,0,778.0449154491943,6291.500812406153,213.1840794329146,10,-9.094947017729282e-13,0.4528101359901484
60002,10,0.25,3,0.3,adaptive_double_ring_clear_probe,True,10,6318.663835867644,False,4234.663835867645,21173.31917933822,1715.0,343,320,0.9329446064139941,319,319.0,10,30.0,10,20.0,0,0,778.0449154491943,5853.5304559798105,465.13337988783314,10,-9.094947017729282e-13,0.4186871779966168
60002,10,0.5,4,0.4,double_ring_optical_clear_probe,True,10,6512.1206777861535,False,4392.1206777861535,21960.60338893077,1745.0,349,324,0.9283667621776505,325,325.0,10,30.0,10,20.0,1,1,778.0449154491943,6298.936598353239,213.1840794329146,10,0.0,0.44358537600783166
60002,10,0.5,4,0.4,adaptive_double_ring_clear_probe,True,10,6327.096551628162,False,4237.096551628162,21185.482758140814,1720.0,344,320,0.9302325581395349,320,320.0,10,30.0,10,20.0,0,0,778.0449154491943,5861.963171740329,465.13337988783314,10,0.0,0.39822155800356995
60002,10,0.75,6,0.6,double_ring_optical_clear_probe,True,10,6770.9621558896315,False,4608.9621558896315,23044.81077944816,1780.0,356,332,0.9325842696629213,332,332.0,10,30.0,10,20.0,2,2,778.0449154491943,6557.778076456717,213.1840794329146,10,0.0,0.43277875598869286
60002,10,0.75,6,0.6,adaptive_double_ring_clear_probe,True,10,6585.93802973164,False,4453.938029731639,22269.690148658203,1755.0,351,328,0.9344729344729344,327,327.0,10,30.0,10,20.0,2,2,778.0449154491943,6120.804649843807,465.13337988783314,10,9.094947017729282e-13,0.416418024993618
60002,10,1.0,10,1.0,double_ring_optical_clear_probe,True,10,7960.665753110394,False,5528.665753110394,27643.328765551967,2005.0,401,377,0.940149625935162,377,377.0,10,30.0,10,20.0,5,5,945.4261633232749,7960.665753110394,0.0,10,0.0,0.613988215001882
60002,10,1.0,10,1.0,adaptive_double_ring_clear_probe,True,10,6636.196361692006,False,4494.196361692006,22470.981808460023,1750.0,350,329,0.94,327,327.0,15,45.0,10,20.0,3,3,939.4261633232749,5562.810067614845,1073.3862940771605,10,0.0,0.3057328520080773
60002,13,0.0,0,0.0,double_ring_optical_clear_probe,True,13,5888.086932631396,True,4207.086932631396,21035.43466315698,1365.0,273,240,0.8791208791208791,248,248.0,14,42.0,13,26.0,0,0,778.0449154491943,5788.423004848928,99.66392778246791,13,0.0,0.7966255829960573
60002,13,0.0,0,0.0,adaptive_double_ring_clear_probe,True,13,5894.446717554937,True,4353.4467175549435,21767.233587774732,1205.0,241,210,0.8713692946058091,217,217.0,31,93.0,13,26.0,0,0,778.0449154491943,5725.816997374373,168.6297201805637,13,-6.366462912410498e-12,0.9295530300005339
60002,13,0.25,3,0.23076923076923078,double_ring_optical_clear_probe,True,13,6330.51277836581,False,4510.51277836581,22552.563891829057,1480.0,296,264,0.8918918918918919,272,272.0,14,42.0,13,26.0,0,0,778.0449154491943,6230.848850583342,99.66392778246791,13,0.0,0.7004258170054527
60002,13,0.25,3,0.23076923076923078,adaptive_double_ring_clear_probe,True,13,6222.2040166229035,False,4370.2040166229035,21851.020083114545,1485.0,297,266,0.8956228956228957,272,272.0,23,69.0,13,26.0,0,0,778.0449154491943,6125.64464676506,96.5593698578432,13,0.0,0.6900251509941882
60002,13,0.5,4,0.3076923076923077,double_ring_optical_clear_probe,True,13,6350.905160519037,False,4500.905160519037,22504.525802595188,1505.0,301,268,0.8903654485049833,277,277.0,14,42.0,13,26.0,1,1,778.0449154491943,6251.241232736569,99.66392778246791,13,0.0,0.6735548690048745
60002,13,0.5,4,0.3076923076923077,adaptive_double_ring_clear_probe,True,13,6229.774042355031,False,4371.774042355031,21858.87021177518,1490.0,298,266,0.8926174496644296,273,273.0,23,69.0,13,26.0,0,0,778.0449154491943,6133.214672497188,96.5593698578432,13,0.0,0.6075500229926547
60002,13,0.75,7,0.5384615384615384,double_ring_optical_clear_probe,True,13,6625.7304244516035,False,4715.7304244516035,23578.652122258016,1555.0,311,280,0.9003215434083601,287,287.0,14,42.0,13,26.0,3,3,778.0449154491943,6526.066496669136,99.66392778246791,13,0.0,0.6853951649973169
60002,13,0.75,7,0.5384615384615384,adaptive_double_ring_clear_probe,True,13,6521.625290955283,False,4584.625290955283,22923.126454776444,1555.0,311,280,0.9003215434083601,287,287.0,23,69.0,13,26.0,3,3,778.0449154491943,6425.06592109744,96.5593698578432,13,0.0,0.7213710750074824
