strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s,local_check_count,local_detour_distance_m,main_skeleton_distance_m,switch_time_s,optical_time_s,successful_clear_time_s,cost_accounting_residual_s,all_cleared_within_6000,post_last_clear_time_s,seen16_time_s,post_seen16_time_s,unseen_measures_after_seen16
double_ring_optical_clear_probe,44,13,7,13,1.0,True,505.00020174304433,6565.002622659576,4762.002622659575,23810.01311329787,1470.0,294,267,0.9081632653061225,27,0,268,13,13,13,2,2,1287.1055581028218,4934.895639393877,682.4798040256245,6565.002622659576,56,0.7156168799992884,,,,268.0,39.0,26.0,1.8189894035458565e-12,False,0.0,,,
double_ring_optical_clear_probe,45,12,6,12,1.0,True,507.9924018353756,6095.908822024507,4140.908822024508,20704.544110122526,1600.0,320,286,0.89375,34,0,295,12,12,12,3,3,1255.1116359272055,3328.1563946262354,1218.6919683211995,5487.985112105869,99,1.012150019989349,,,,295.0,36.0,24.0,-9.094947017729282e-13,False,607.9237099186375,,,
double_ring_optical_clear_probe,46,10,4,10,1.0,True,640.8794546713839,6408.794546713839,4502.794546713838,22513.97273356919,1560.0,312,289,0.9262820512820513,23,0,287,13,13,10,0,0,680.3183835916323,3558.065415674458,903.1363896573829,4009.4459468087452,71,0.8923671529919375,,,,287.0,39.0,20.0,9.094947017729282e-13,False,2399.3485999050936,,,
double_ring_optical_clear_probe,47,12,5,12,1.0,True,528.6530109768863,6343.836131722636,4412.836131722636,22064.18065861318,1580.0,316,283,0.8955696202531646,33,0,291,12,12,12,3,3,929.5642335646072,4221.522444612384,525.2775225251778,5589.011870245622,40,1.09191160100454,,,,291.0,36.0,24.0,0.0,False,754.8242614770143,,,
double_ring_optical_clear_probe,48,14,5,14,1.0,True,429.21908252741684,6009.067155383836,4416.067155383837,22080.335776919175,1290.0,258,223,0.8643410852713178,35,0,233,14,14,14,3,3,674.9330166107592,2173.457316559663,658.8061681730338,5836.016469313844,56,1.2962228350079386,,,,233.0,42.0,28.0,-1.8189894035458565e-12,False,173.05068606999157,,,
double_ring_optical_clear_probe,49,10,6,10,1.0,True,674.6248926249366,6746.248926249366,4451.248926249366,22256.24463124682,1890.0,378,353,0.9338624338624338,25,0,355,10,10,10,5,5,1283.856677294013,3172.5354975691093,513.8739980637781,6534.953557107817,40,0.597261499002343,,,,355.0,30.0,20.0,0.0,False,211.2953691415496,,,
double_ring_optical_clear_probe,50,13,5,13,1.0,True,545.293318018871,7088.813134245323,5059.813134245327,25299.065671226625,1645.0,329,291,0.8844984802431611,38,0,304,18,18,13,1,1,2002.3893379126775,5976.606642914624,529.6649653512294,6495.57834143849,40,0.9969098629953805,,,,304.0,54.0,26.0,-3.637978807091713e-12,False,593.2347928068339,,,
double_ring_optical_clear_probe,51,11,4,11,1.0,True,633.7972512629584,6971.769763892542,4976.76976389254,24883.84881946271,1625.0,325,296,0.9107692307692308,29,0,297,17,17,11,2,2,1447.1174373319327,3612.172860337698,904.4281863184783,6971.769763892542,78,0.521248902005027,,,,297.0,51.0,22.0,1.8189894035458565e-12,False,0.0,,,
double_ring_optical_clear_probe,52,12,6,12,1.0,True,626.5789178986397,7518.947014783676,5467.947014783676,27339.735073918382,1680.0,336,303,0.9017857142857143,33,0,311,12,12,12,3,3,1506.8900682494107,5943.491530182654,738.0409877775386,7518.947014783676,58,0.9600987900048494,,,,311.0,36.0,24.0,0.0,False,0.0,,,
double_ring_optical_clear_probe,53,14,6,14,1.0,True,616.2302871755088,8627.224020457123,6570.224020457125,32851.12010228562,1680.0,336,295,0.8779761904761905,41,0,307,14,14,14,6,6,1549.8886938213334,6206.828837856726,718.4734213625578,8627.224020457123,58,1.453528917991207,,,,307.0,42.0,28.0,-1.8189894035458565e-12,False,0.0,,,
double_ring_optical_clear_probe,54,11,8,11,1.0,True,639.5149133478258,7034.664046826083,5015.664046826083,25078.320234130424,1645.0,329,301,0.9148936170212766,28,0,304,16,16,11,4,4,951.2969928934598,2888.7335639441453,671.7341878038278,7034.664046826083,59,0.6959092059987597,,,,304.0,48.0,22.0,0.0,False,0.0,,,
