study,scenario_id,selected_x,selected_y,objective_m,realized_mean_diameter_m,realized_p95_diameter_m,selection_runtime_s,candidate_count,exact_evaluation_count,f1_area_m2,f1_diameter_m,selected_point_shift_m,objective_delta_m
ED-current-pruning,0,112.5,-1187.5,54.413296664025665,51.35107544440778,51.8610963737835,3.9071511999936774,246,12000,35534.59609434849,1436.922053628629,0.0,0.0
ED-current-pruning,1,-1187.5,212.5,45.99393358672229,55.31066243349765,55.441356531295476,3.8161031999916304,222,12000,26418.200494837787,1262.7968672303039,0.0,0.0
ED-current-pruning,2,12.5,-1737.5,58.46011836709458,51.70193987557705,52.59609725120967,4.067493399998057,289,12000,39269.463539144635,1495.0030560486202,0.0,0.0
ED-current-pruning,3,12.5,1262.5,38.89644970517948,54.49442482107439,55.62042286416419,3.907694800000172,244,12000,22530.430630259376,1143.649282924671,0.0,0.0
ED-current-pruning,4,62.5,-587.5,54.75096571344913,61.63232508211981,62.180420837765716,4.174526899994817,328,12000,39269.463539144606,1495.00305604862,0.0,0.0
ED-current-pruning,5,1412.5,662.5,23.00572768060474,25.997777632290973,26.632840477543827,3.795882899998105,202,12000,6839.727358156278,625.5498386257145,0.0,0.0
ED-current-pruning,6,162.5,-1637.5,11.758621350124765,16.265388747882405,16.542151281262854,3.6797944999998435,187,12000,1735.5245894144757,313.6946054206885,0.0,0.0
ED-current-pruning,7,-437.5,-1037.5,55.129227188154836,42.62783911316526,42.65683860969226,3.941180499998154,261,12000,39269.46353914455,1495.0030560486202,0.0,0.0
ED-current-pruning,8,-837.5,-1137.5,57.65471512680383,69.68481735164806,70.29173575211372,3.9998199999972712,261,12000,39269.46353914452,1495.0030560486202,0.0,0.0
ED-current-pruning,9,-737.5,-87.5,60.856704182674285,42.1213168639834,42.16185183671094,3.9623777999950107,241,12000,39269.463539144606,1495.0030560486202,0.0,0.0
ED-current-pruning,10,-737.5,-1287.5,26.060837305641392,38.329965334319226,38.92679187041703,3.8369495999941137,233,12000,8722.06263586226,715.9926102301956,0.0,0.0
