scenario_id,replicate,strategy,radius_mode,error_model,outcome,detected,area_m2,diameter_m,move_distance_m,move_time_s,selection_runtime_s,candidate_count,exact_objective_evaluation_count
295,17,geometry,fixed_1500,truncated_gaussian,bearing,True,393.5558187792875,36.493665276777456,1041.4337737584065,208.2867547516813,0.010378057006164454,307,0
295,17,gdop_mean,fixed_1500,truncated_gaussian,bearing,True,675.6522591593149,39.921346707647274,1093.4968195904075,218.6993639180815,0.3738537519966485,288,0
295,17,fim_e,fixed_1500,truncated_gaussian,bearing,True,2820.699280778806,191.1506627727097,344.49853451087296,68.89970690217459,0.4239867190044606,331,0
295,17,random,fixed_1500,truncated_gaussian,no_signal,False,36462.542622415975,1287.121785642094,887.0440310768035,177.4088062153607,0.0015046619955683127,94,0
295,18,expected_diameter,fixed_1500,truncated_gaussian,bearing,True,668.7719835036853,39.38149102006816,1093.4968195904075,218.6993639180815,2.8538245249947067,276,12400
295,18,geometry,fixed_1500,truncated_gaussian,bearing,True,392.6248881311414,36.54650628989385,1041.4337737584065,208.2867547516813,0.010378057006164454,307,0
295,18,gdop_mean,fixed_1500,truncated_gaussian,bearing,True,668.7719835036853,39.38149102006816,1093.4968195904075,218.6993639180815,0.3738537519966485,288,0
295,18,fim_e,fixed_1500,truncated_gaussian,bearing,True,3218.6102459621325,209.23685327836623,344.49853451087296,68.89970690217459,0.4239867190044606,331,0
295,18,random,fixed_1500,truncated_gaussian,no_signal,False,36462.542622415975,1287.121785642094,887.0440310768035,177.4088062153607,0.0015046619955683127,94,0
295,19,expected_diameter,fixed_1500,truncated_gaussian,bearing,True,667.4565591725277,39.276803915736025,1093.4968195904075,218.6993639180815,2.8538245249947067,276,12400
295,19,geometry,fixed_1500,truncated_gaussian,bearing,True,392.46055261909214,36.557852573663034,1041.4337737584065,208.2867547516813,0.010378057006164454,307,0
295,19,gdop_mean,fixed_1500,truncated_gaussian,bearing,True,667.4565591725277,39.276803915736025,1093.4968195904075,218.6993639180815,0.3738537519966485,288,0
295,19,fim_e,fixed_1500,truncated_gaussian,bearing,True,3305.992546983662,213.11020545518213,344.49853451087296,68.89970690217459,0.4239867190044606,331,0
295,19,random,fixed_1500,truncated_gaussian,no_signal,False,36462.542622415975,1287.121785642094,887.0440310768035,177.4088062153607,0.0015046619955683127,94,0
295,20,expected_diameter,fixed_1500,truncated_gaussian,bearing,True,673.3068832045026,39.73872922417547,1093.4968195904075,218.6993639180815,2.8538245249947067,276,12400
295,20,geometry,fixed_1500,truncated_gaussian,bearing,True,393.2255378234631,36.510497710763644,1041.4337737584065,208.2867547516813,0.010378057006164454,307,0
295,20,gdop_mean,fixed_1500,truncated_gaussian,bearing,True,673.3068832045026,39.73872922417547,1093.4968195904075,218.6993639180815,0.3738537519966485,288,0
295,20,fim_e,fixed_1500,truncated_gaussian,bearing,True,2946.177560050134,196.93756142673814,344.49853451087296,68.89970690217459,0.4239867190044606,331,0
295,20,random,fixed_1500,truncated_gaussian,no_signal,False,36462.542622415975,1287.121785642094,887.0440310768035,177.4088062153607,0.0015046619955683127,94,0
295,21,expected_diameter,fixed_1500,truncated_gaussian,bearing,True,677.9439292621905,40.098436063749574,1093.4968195904075,218.6993639180815,2.8538245249947067,276,12400
295,21,geometry,fixed_1500,truncated_gaussian,bearing,True,393.89070574498584,36.478329183584336,1041.4337737584065,208.2867547516813,0.010378057006164454,307,0
295,21,gdop_mean,fixed_1500,truncated_gaussian,bearing,True,677.9439292621905,40.098436063749574,1093.4968195904075,218.6993639180815,0.3738537519966485,288,0
295,21,fim_e,fixed_1500,truncated_gaussian,bearing,True,2706.9168113630176,185.8312612673952,344.49853451087296,68.89970690217459,0.4239867190044606,331,0
