scenario_id,strategy,s2_x,s2_y,selection_objective,selection_runtime_s,candidate_count,exact_objective_evaluation_count,search_levels
4,expected_diameter,12.5,-487.5,55.00158817653943,3.6337194649968296,361,12400,"[{""level"": 1, ""step_m"": 250.0, ""candidate_count"": 135, ""exact_candidate_count"": 10, ""best_x"": 700.0, ""best_y"": 450.0, ""best_objective"": 55.340272799962214, ""runtime_s"": 0.9746488209930249}, {""level"": 2, ""step_m"": 100.0, ""candidate_count"": 147, ""exact_candidate_count"": 10, ""best_x"": 37.5, ""best_y"": -462.5, ""best_objective"": 55.04574366325603, ""runtime_s"": 1.0801536369981477}, {""level"": 3, ""step_m"": 50.0, ""candidate_count"": 78, ""exact_candidate_count"": 10, ""best_x"": 12.5, ""best_y"": -487.5, ""best_objective"": 55.00158817653943, ""runtime_s"": 0.9830606160103343}]"
4,geometry,212.5,-187.5,0.001314455601272931,0.011667323007714003,330,0,"[{""level"": 1, ""step_m"": 250.0, ""candidate_count"": 135, ""best_x"": 450.0, ""best_y"": 200.0, ""best_objective"": 0.0013015038216032636, ""runtime_s"": 0.004470877000130713}, {""level"": 2, ""step_m"": 100.0, ""candidate_count"": 147, ""best_x"": 187.5, ""best_y"": -162.5, ""best_objective"": 0.0013176900057552804, ""runtime_s"": 0.005034397996496409}, {""level"": 3, ""step_m"": 50.0, ""candidate_count"": 48, ""best_x"": 212.5, ""best_y"": -187.5, ""best_objective"": 0.001314455601272931, ""runtime_s"": 0.0021270639990689233}]"
4,gdop_mean,62.5,-437.5,14.11496307746512,0.5224885679926956,360,0,"[{""level"": 1, ""step_m"": 250.0, ""candidate_count"": 135, ""best_x"": 700.0, ""best_y"": 450.0, ""best_objective"": 14.177695317174193, ""runtime_s"": 0.13037101399095263}, {""level"": 2, ""step_m"": 100.0, ""candidate_count"": 147, ""best_x"": 637.5, ""best_y"": 437.5, ""best_objective"": 14.115531334085272, ""runtime_s"": 0.24587288200564217}, {""level"": 3, ""step_m"": 50.0, ""candidate_count"": 78, ""best_x"": 62.5, ""best_y"": -437.5, ""best_objective"": 14.11496307746512, ""runtime_s"": 0.14619178700377233}]"
4,fim_e,912.5,362.5,0.0072508109193175465,0.49471910200372804,360,0,"[{""level"": 1, ""step_m"": 250.0, ""candidate_count"": 135, ""best_x"": 950.0, ""best_y"": 450.0, ""best_objective"": 0.007192171213120246, ""runtime_s"": 0.1283698969928082}, {""level"": 2, ""step_m"": 100.0, ""candidate_count"": 147, ""best_x"": 187.5, ""best_y"": -712.5, ""best_objective"": 0.007257028673018359, ""runtime_s"": 0.23590232199057937}, {""level"": 3, ""step_m"": 50.0, ""candidate_count"": 78, ""best_x"": 912.5, ""best_y"": 362.5, ""best_objective"": 0.0072508109193175465, ""runtime_s"": 0.13032097699760925}]"
4,random,-800.0,950.0,0.0,0.0016051589918788522,135,0,[]
5,expected_diameter,1412.5,612.5,23.586129665439753,3.0927446340065217,258,12400,"[{""level"": 1, ""step_m"": 250.0, ""candidate_count"": 70, ""exact_candidate_count"": 10, ""best_x"": 1450.0, ""best_y"": 700.0, ""best_objective"": 24.99439616448351, ""runtime_s"": 0.8263101329939673}, {""level"": 2, ""step_m"": 100.0, ""candidate_count"": 119, ""exact_candidate_count"": 10, ""best_x"": 1437.5, ""best_y"": 637.5, ""best_objective"": 23.84174734339763, ""runtime_s"": 0.9294334340083878}, {""level"": 3, ""step_m"": 50.0, ""candidate_count"": 68, ""exact_candidate_count"": 10, ""best_x"": 1412.5, ""best_y"": 612.5, ""best_objective"": 23.586129665439753, ""runtime_s"": 0.8472959929931676}]"
5,geometry,1312.5,1062.5,0.002816955584841353,0.011800610009231605,286,0,"[{""level"": 1, ""step_m"": 250.0, ""candidate_count"": 70, ""best_x"": 1450.0, ""best_y"": 700.0, ""best_objective"": 0.002671334282869561, ""runtime_s"": 0.003158003994030878}, {""level"": 2, ""step_m"": 100.0, ""candidate_count"": 133, ""best_x"": 1287.5, ""best_y"": 1037.5, ""best_objective"": 0.0028271550236825017, ""runtime_s"": 0.00508951599476859}, {""level"": 3, ""step_m"": 50.0, ""candidate_count"": 83, ""best_x"": 1312.5, ""best_y"": 1062.5, ""best_objective"": 0.002816955584841353, ""runtime_s"": 0.0035233490052632987}]"
5,gdop_mean,1312.5,1112.5,5.970837615918522,0.4156812470027944,263,0,"[{""level"": 1, ""step_m"": 250.0, ""candidate_count"": 70, ""best_x"": 1450.0, ""best_y"": 700.0, ""best_objective"": 6.227709544771453, ""runtime_s"": 0.05566167399229016}, {""level"": 2, ""step_m"": 100.0, ""candidate_count"": 119, ""best_x"": 1437.5, ""best_y"": 637.5, ""best_objective"": 6.052980601791786, ""runtime_s"": 0.20333339499484282}, {""level"": 3, ""step_m"": 50.0, ""candidate_count"": 74, ""best_x"": 1312.5, ""best_y"": 1112.5, ""best_objective"": 5.970837615918522, ""runtime_s"": 0.1566393649991369}]"
5,fim_e,1112.5,1012.5,0.05656039583699442,0.404197527008364,262,0,"[{""level"": 1, ""step_m"": 250.0, ""candidate_count"": 70, ""best_x"": 1200.0, ""best_y"": 700.0, ""best_objective"": 0.054106997478792794, ""runtime_s"": 0.05612687399843708}, {""level"": 2, ""step_m"": 100.0, ""candidate_count"": 114, ""best_x"": 1087.5, ""best_y"": 987.5, ""best_objective"": 0.05549025913855534, ""runtime_s"": 0.2129926610068651}, {""level"": 3, ""step_m"": 50.0, ""candidate_count"": 78, ""best_x"": 1112.5, ""best_y"": 1012.5, ""best_objective"": 0.05656039583699442, ""runtime_s"": 0.1349893729930045}]"
5,random,950.0,950.0,0.0,0.0016358160064555705,70,0,[]
