seed,emitter_count,directional_count,baseline_all_cleared,candidate_all_cleared,baseline_virtual_time_s,candidate_virtual_time_s,virtual_time_delta_s,lost_clearance,lost_target,is_regression,regression_log
82,11,11,True,True,7668.504041992432,7544.886727977809,-123.61731401462293,False,False,False,
83,13,13,True,True,8583.95310023961,7608.5403012497445,-975.4127989898661,False,False,False,
84,15,15,True,True,7219.858325303823,7146.2697999517695,-73.5885253520537,False,False,False,
85,11,11,True,True,7779.313568259558,7685.359812715351,-93.95375554420752,False,False,False,
86,16,16,True,True,7985.374494835038,6253.707919809837,-1731.6665750252005,False,False,False,
87,11,11,True,True,7697.329768517072,7211.284274845515,-486.04549367155687,False,False,False,
88,13,13,True,True,6910.982159355311,6659.2414057464475,-251.7407536088631,False,False,False,
89,10,10,True,True,7404.467184662873,6830.430525645828,-574.0366590170443,False,False,False,
90,11,11,True,True,7969.992311046475,7022.65289331298,-947.3394177334949,False,False,False,
91,10,10,True,True,6996.438460959054,7462.539508429411,466.1010474703571,False,False,True,regressions/seed_91.json
92,13,13,True,True,6947.50584421782,6672.056733135716,-275.4491110821036,False,False,False,
93,16,16,True,True,8326.105763162115,7420.279957127338,-905.8258060347771,False,False,False,
94,14,14,True,True,8002.509763102766,6662.1437171934385,-1340.366045909327,False,False,False,
95,16,16,True,True,6828.724713121914,6658.729603104588,-169.99511001732571,False,False,False,
96,12,12,True,True,6801.277711579154,7068.789306680821,267.5115951016669,False,False,True,
97,11,11,True,True,6469.1792412918785,6527.339782930382,58.16054163850367,False,False,True,
98,12,12,True,True,6902.218663983784,6965.491649983363,63.27298599957885,False,False,True,
99,13,13,True,True,7105.887900244843,6412.414065563237,-693.4738346816057,False,False,False,
