seed,emitter_count,directional_count,directional_fraction,baseline_virtual_time_s,candidate_virtual_time_s,virtual_time_delta_s
84,15,8,0.5333333333333333,6837.579789281621,6394.988410433369,-442.59137884825213
85,11,5,0.45454545454545453,6168.481984031504,6254.638126678171,86.15614264666692
86,16,11,0.6875,6950.657485389227,5543.546460705399,-1407.111024683828
87,11,6,0.5454545454545454,7464.093365640341,6376.979400213135,-1087.1139654272065
88,13,11,0.8461538461538461,7095.969166450983,7111.749257106626,15.780090655643107
89,10,7,0.7,7925.649364302201,7007.490648673563,-918.1587156286387
90,11,8,0.7272727272727273,7684.371405088158,7529.091763527484,-155.27964156067446
91,10,2,0.2,6295.236100770357,6213.293099709062,-81.94300106129504
92,13,3,0.23076923076923078,6244.084547319553,6324.286964728632,80.20241740907841
93,16,8,0.5,7189.130593339817,5844.923350444216,-1344.2072428956008
94,14,9,0.6428571428571429,7561.200470306411,6797.991416253771,-763.2090540526406
95,16,11,0.6875,8574.395444534803,7484.335937104088,-1090.0595074307148
96,12,4,0.3333333333333333,6213.1553638791465,6162.879133344161,-50.27623053498519
97,11,4,0.36363636363636365,6462.929969291449,6241.935882867268,-220.99408642418075
98,12,6,0.5,6592.945916436418,6617.597376956961,24.65146052054297
99,13,8,0.6153846153846154,6827.655492867063,6355.350036393967,-472.30545647309646
